2024-01-25 14:03:10 1 half-installed libext2fs2:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:10 1 libgcc-s1:amd64 <none> 12-20220319-1ubuntu1
2024-01-25 14:03:10 1 half-installed libgcc-s1:amd64 12-20220319-1ubuntu1
2024-01-25 14:03:10 1 libgcrypt20:amd64 <none> 1.9.4-3ubuntu3
2024-01-25 14:03:10 1 half-installed libgcrypt20:amd64 1.9.4-3ubuntu3
2024-01-25 14:03:10 1 libgmp10:amd64 <none> 2:6.2.1+dfsg-3ubuntu1
2024-01-25 14:03:10 1 half-installed libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2024-01-25 14:03:10 1 libgpg-error0:amd64 <none> 1.43-3
2024-01-25 14:03:10 1 half-installed libgpg-error0:amd64 1.43-3
2024-01-25 14:03:10 1 libgssapi-krb5-2:amd64 <none> 1.19.2-2
2024-01-25 14:03:10 1 half-installed libgssapi-krb5-2:amd64 1.19.2-2
2024-01-25 14:03:10 1 libk5crypto3:amd64 <none> 1.19.2-2
2024-01-25 14:03:10 1 half-installed libk5crypto3:amd64 1.19.2-2
2024-01-25 14:03:10 1 libkeyutils1:amd64 <none> 1.6.1-2ubuntu3
2024-01-25 14:03:10 1 half-installed libkeyutils1:amd64 1.6.1-2ubuntu3
2024-01-25 14:03:10 1 libkrb5-3:amd64 <none> 1.19.2-2
2024-01-25 14:03:10 1 half-installed libkrb5-3:amd64 1.19.2-2
2024-01-25 14:03:10 1 libkrb5support0:amd64 <none> 1.19.2-2
2024-01-25 14:03:10 1 half-installed libkrb5support0:amd64 1.19.2-2
2024-01-25 14:03:10 1 liblz4-1:amd64 <none> 1.9.3-2build2
2024-01-25 14:03:10 1 half-installed liblz4-1:amd64 1.9.3-2build2
2024-01-25 14:03:11 1 liblzma5:amd64 <none> 5.2.5-2ubuntu1
2024-01-25 14:03:11 1 half-installed liblzma5:amd64 5.2.5-2ubuntu1
2024-01-25 14:03:11 1 libmount1:amd64 <none> 2.37.2-4ubuntu3
2024-01-25 14:03:11 1 half-installed libmount1:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:11 1 libncurses6:amd64 <none> 6.3-2
2024-01-25 14:03:11 1 half-installed libncurses6:amd64 6.3-2
2024-01-25 14:03:11 1 libncursesw6:amd64 <none> 6.3-2
2024-01-25 14:03:11 1 half-installed libncursesw6:amd64 6.3-2
2024-01-25 14:03:11 1 libnsl2:amd64 <none> 1.3.0-2build2
2024-01-25 14:03:11 1 half-installed libnsl2:amd64 1.3.0-2build2
2024-01-25 14:03:11 1 libpam-modules:amd64 <none> 1.4.0-11ubuntu2
2024-01-25 14:03:11 1 half-installed libpam-modules:amd64 1.4.0-11ubuntu2
2024-01-25 14:03:11 1 libpam-modules-bin:amd64 <none> 1.4.0-11ubuntu2
2024-01-25 14:03:11 1 half-installed libpam-modules-bin:amd64 1.4.0-11ubuntu2
2024-01-25 14:03:11 1 libpam-runtime:all <none> 1.4.0-11ubuntu2
2024-01-25 14:03:11 1 half-installed libpam-runtime:all 1.4.0-11ubuntu2
2024-01-25 14:03:11 1 libpam0g:amd64 <none> 1.4.0-11ubuntu2
